Variant,HND_mean,HND_std,DR_mean,DR_std,Conv_mean,Conv_std,HND_Δ (%)
Full framework,763.8374129799724,5.521877019434596,0.7391266267378579,0.0121823542146389,2997.0,16.15549442140351,-
w/o Layer 2,719.5466507362936,4.230934922333352,0.4143546147031302,0.0038192722569824,2307.0,122.9945798263768,5.8
Fixed weights,763.6932888061341,5.028389889658392,0.7393923030011379,0.0135945562575038,2947.0,179.68769202888117,0.0
w/o penalty,763.7895502607934,5.013970708852903,0.7388932112321318,0.0135462653621911,2948.0,178.57584756437237,0.0
Constant step,763.8743285422729,5.001080179602928,0.7383052271714924,0.0134948199424496,2948.333333333333,175.67172668233812,-0.0
w/o both,688.4667217452151,5.499366235303214,0.4620381565419457,0.0046966817464526,1256.3333333333333,48.19981558286796,9.9
