Protocol,HND (mean),HND (std),Improv. (%),Energy Eff. (mean),Energy Eff. (std),Del. Ratio (mean),Del. Ratio (std),Conv. Time (ms),Conv. Time (std),Jain Fairness
DeepSensor,320.756,1.736,0.0,0.058,0.001,0.416,0.008,3000.0,0.0,0.359
FL-Energy,351.232,1.315,9.5,0.063,0.0,0.405,0.001,3000.0,0.0,0.839
HEED,425.033,2.111,32.5,0.074,0.001,0.39,0.004,3000.0,0.0,0.931
LEACH,422.659,2.476,31.8,0.103,0.0,0.563,0.002,3000.0,0.0,0.784
Ours,764.496,6.205,138.3,0.25,0.004,0.738,0.014,2993.0,25.884,0.989
PEGASIS,388.517,1.454,21.1,0.083,0.0,0.48,0.001,3000.0,0.0,0.924
