Protocol,Round,Jains_Index
LEACH,0,0.9959283311189078
LEACH,6,0.9955708723270673
LEACH,12,0.9950045190457215
LEACH,18,0.9942115667854642
LEACH,24,0.9939306812034326
LEACH,30,0.9935844505553483
LEACH,36,0.99300619341726
LEACH,42,0.9925025244933929
LEACH,48,0.9920813548015988
LEACH,54,0.9914024592250024
LEACH,60,0.9905878271065612
LEACH,66,0.9902297745265272
LEACH,72,0.9895943775066776
LEACH,78,0.988653841213993
LEACH,84,0.9881766617016141
LEACH,90,0.987551818546192
LEACH,96,0.986592764116433
LEACH,102,0.985566216732914
LEACH,108,0.984466643280878
LEACH,114,0.9829634909822711
LEACH,120,0.9813362290562201
LEACH,126,0.980914135351417
LEACH,132,0.9801023448157121
LEACH,138,0.9788535320748879
LEACH,144,0.9779832006249769
LEACH,150,0.9768189145893811
LEACH,156,0.9751358086406696
LEACH,162,0.9735582155462543
LEACH,168,0.9721053260326274
LEACH,174,0.9700457891660226
LEACH,180,0.967402157251862
LEACH,186,0.9645269752006163
LEACH,192,0.9608374133822865
LEACH,198,0.9562287557405825
LEACH,204,0.9532405011149173
LEACH,210,0.9498971750797361
LEACH,216,0.9455669083331393
LEACH,222,0.941497227438205
LEACH,228,0.9377491949998088
LEACH,234,0.9328475408613225
LEACH,240,0.9269013391175766
LEACH,246,0.920968647929214
LEACH,252,0.9137120328526112
LEACH,258,0.9047266871159249
LEACH,264,0.8968710837653796
LEACH,270,0.8890550936347944
LEACH,276,0.8794221914430792
LEACH,282,0.869693009873603
LEACH,288,0.8592060966268136
LEACH,294,0.847375483279739
HEED,0,0.9959501284824397
HEED,6,0.995819737914996
HEED,12,0.9956559696633225
HEED,18,0.9954564275657144
HEED,24,0.9952676437397424
HEED,30,0.9950388311892628
HEED,36,0.9947555135382388
HEED,42,0.994505299339717
HEED,48,0.9942980382681255
HEED,54,0.9940430016254772
HEED,60,0.9937591719177513
HEED,66,0.9935364965741234
HEED,72,0.9932592465531296
HEED,78,0.9929229131070566
HEED,84,0.9926268347051277
HEED,90,0.9922968898067341
HEED,96,0.991909050519755
HEED,102,0.9915202982577278
HEED,108,0.9911150868309104
HEED,114,0.9906209830927624
HEED,120,0.9901103303933557
HEED,126,0.9899228769817204
HEED,132,0.98966804770838
HEED,138,0.9893391891078929
HEED,144,0.9889698354100097
HEED,150,0.988539979675217
HEED,156,0.9880368439847161
HEED,162,0.9875315012228939
HEED,168,0.987002284273946
HEED,174,0.9863555728238832
HEED,180,0.9856400423767309
HEED,186,0.985117731653743
HEED,192,0.9844931027770905
HEED,198,0.9837550267713119
HEED,204,0.9830938257612869
HEED,210,0.9823260273438433
HEED,216,0.9813927095147886
HEED,222,0.980412085128038
HEED,228,0.9793952926026608
HEED,234,0.9781944459794024
HEED,240,0.9768467501854977
HEED,246,0.9755947971512273
HEED,252,0.9741353910257179
HEED,258,0.9724421851423607
HEED,264,0.9710839803548208
HEED,270,0.9696074557123551
HEED,276,0.9678653166553258
HEED,282,0.9658145558826219
HEED,288,0.9633686649846783
HEED,294,0.9604589392041457
PEGASIS,0,0.995952602245472
PEGASIS,6,0.9958513042404501
PEGASIS,12,0.9957423330219991
PEGASIS,18,0.9956251571113187
PEGASIS,24,0.9954992028717752
PEGASIS,30,0.9953638506169092
PEGASIS,36,0.9952184303039353
PEGASIS,42,0.9950622167624094
PEGASIS,48,0.9948944244008633
PEGASIS,54,0.9947142013262662
PEGASIS,60,0.994520622802091
PEGASIS,66,0.994312683960048
PEGASIS,72,0.9940892916684174
PEGASIS,78,0.9938492554455445
PEGASIS,84,0.9935912772905632
PEGASIS,90,0.99331394028402
PEGASIS,96,0.9930156957885437
PEGASIS,102,0.9926948490531611
PEGASIS,108,0.9923495429939131
PEGASIS,114,0.9919777398868407
PEGASIS,120,0.9915772006663707
PEGASIS,126,0.9911454614712194
PEGASIS,132,0.9906798070197207
PEGASIS,138,0.9901772403247684
PEGASIS,144,0.9896344481733728
PEGASIS,150,0.9890477616940392
PEGASIS,156,0.9884131112133022
PEGASIS,162,0.9877259744564719
PEGASIS,168,0.9869813169716773
PEGASIS,174,0.9861735234437435
PEGASIS,180,0.9852963183071963
PEGASIS,186,0.9843426737554971
PEGASIS,192,0.9833047028632512
PEGASIS,198,0.9821735350738291
PEGASIS,204,0.9813668179591771
PEGASIS,210,0.980670190204412
PEGASIS,216,0.9799190591714585
PEGASIS,222,0.979107620086977
PEGASIS,228,0.9782292791199285
PEGASIS,234,0.9772765219566414
PEGASIS,240,0.9762407563009265
PEGASIS,246,0.975112122264087
PEGASIS,252,0.9738792630062371
PEGASIS,258,0.9725290459043318
PEGASIS,264,0.9710462217910695
PEGASIS,270,0.9694130062087324
PEGASIS,276,0.9676085618438024
PEGASIS,282,0.9656083549206641
PEGASIS,288,0.9633833497300514
PEGASIS,294,0.9608989937930151
DeepSensor,0,0.9959443490158061
DeepSensor,6,0.9957929363036793
DeepSensor,12,0.9956356526291692
DeepSensor,18,0.9954718654694652
DeepSensor,24,0.9953047365879986
DeepSensor,30,0.9951296623195337
DeepSensor,36,0.9949499412818668
DeepSensor,42,0.9947591316714557
DeepSensor,48,0.9945559032201028
DeepSensor,54,0.9943367098819157
DeepSensor,60,0.9940991064183184
DeepSensor,66,0.9938362528695807
DeepSensor,72,0.9935501830134391
DeepSensor,78,0.9932381680790319
DeepSensor,84,0.9928899406989783
DeepSensor,90,0.9925093750705045
DeepSensor,96,0.9920983563880608
DeepSensor,102,0.9916492159398121
DeepSensor,108,0.9911572675037201
DeepSensor,114,0.9906200270496991
DeepSensor,120,0.9900314960962979
DeepSensor,126,0.9893931829821945
DeepSensor,132,0.9886858217043984
DeepSensor,138,0.9878989415969037
DeepSensor,144,0.9870363209012204
DeepSensor,150,0.9860752986488937
DeepSensor,156,0.984994927103372
DeepSensor,162,0.9837847792670668
DeepSensor,168,0.982425533060033
DeepSensor,174,0.980895230239581
DeepSensor,180,0.9791608467959656
DeepSensor,186,0.9771823866163373
DeepSensor,192,0.9749205755801476
DeepSensor,198,0.9723249925377893
DeepSensor,204,0.9693514386421119
DeepSensor,210,0.9659160503218406
DeepSensor,216,0.9619198822990324
DeepSensor,222,0.9572458180980341
DeepSensor,228,0.9517529895440439
DeepSensor,234,0.9452600990811004
DeepSensor,240,0.9375454176324316
DeepSensor,246,0.9282551366199614
DeepSensor,252,0.9170648560916181
DeepSensor,258,0.9035028136024332
DeepSensor,264,0.8869954120869429
DeepSensor,270,0.8669969567212062
DeepSensor,276,0.8441292923548137
DeepSensor,282,0.8167419591230844
DeepSensor,288,0.7862153258961267
DeepSensor,294,0.7517773247178904
FL-Energy,0,0.9959476662519674
FL-Energy,6,0.9958174697647332
FL-Energy,12,0.9956809057637052
FL-Energy,18,0.995537552799715
FL-Energy,24,0.9953869540257072
FL-Energy,30,0.9952286135741347
FL-Energy,36,0.9950619924951242
FL-Energy,42,0.9948865041935555
FL-Energy,48,0.9947015092932551
FL-Energy,54,0.9945063098448308
FL-Energy,60,0.9943001427796483
FL-Energy,66,0.9940821724959338
FL-Energy,72,0.993851482443304
FL-Energy,78,0.9936070655483787
FL-Energy,84,0.9933478132958866
FL-Energy,90,0.9930725032456036
FL-Energy,96,0.9927797847244121
FL-Energy,102,0.9924681623829433
FL-Energy,108,0.9921359772457062
FL-Energy,114,0.991781384809688
FL-Energy,120,0.9914023296558047
FL-Energy,126,0.990996515926043
FL-Energy,132,0.9905613728814037
FL-Energy,138,0.9900940145845155
FL-Energy,144,0.989591192537628
FL-Energy,150,0.989049239839098
FL-Energy,156,0.9884640050849127
FL-Energy,162,0.9878307738151998
FL-Energy,168,0.9871441747631964
FL-Energy,174,0.9863980674689332
FL-Energy,180,0.9855854069252128
FL-Energy,186,0.9846980797634023
FL-Energy,192,0.9837267049737971
FL-Energy,198,0.9826603901681363
FL-Energy,204,0.9814864317636671
FL-Energy,210,0.9801899439652435
FL-Energy,216,0.9787533967172348
FL-Energy,222,0.9771560364255947
FL-Energy,228,0.9753731545476135
FL-Energy,234,0.9733751571521397
FL-Energy,240,0.9711263718650014
FL-Energy,246,0.9685835051679703
FL-Energy,252,0.9656936297397721
FL-Energy,258,0.9623915337894255
FL-Energy,264,0.958596195105975
FL-Energy,270,0.9542060410489781
FL-Energy,276,0.9490925052332926
FL-Energy,282,0.9430911661908218
FL-Energy,288,0.9359894120874819
FL-Energy,294,0.927509055009856
Ours,0,0.9958118526551465
Ours,1,0.995799165142445
Ours,2,0.9957860703012342
Ours,3,0.9957729733597231
Ours,4,0.9957600049253787
Ours,5,0.9957471173070792
Ours,6,0.995734280269469
Ours,7,0.9957214735581573
Ours,8,0.9957086830092257
Ours,9,0.9956958983223976
Ours,10,0.995683111719548
Ours,11,0.9956703171130442
Ours,12,0.9956575095795974
Ours,13,0.9956446850212991
Ours,14,0.9956318399429358
Ours,15,0.9956189713025511
Ours,16,0.995606076408759
Ours,17,0.9955931528484108
Ours,18,0.9955801984343031
Ours,19,0.9955672111663827
Ours,20,0.9955541892022346
Ours,21,0.9955411308341163
Ours,22,0.9955280344706822
Ours,23,0.9955148986221772
Ours,24,0.9955017218882247
Ours,25,0.9954885029476197
Ours,26,0.9954752405496832
Ours,27,0.9954619335068551
Ours,28,0.9954485806883057
Ours,29,0.9954351810143702
Ours,30,0.9954217334516576
Ours,31,0.9954082370087479
Ours,32,0.995394690732364
Ours,33,0.9953810937039872
Ours,34,0.9953674450367848
Ours,35,0.9953537438728963
Ours,36,0.9953399893809637
Ours,37,0.9953261807538972
Ours,38,0.9953123172068715
Ours,39,0.9952983979754859
Ours,40,0.9952844223140874
Ours,41,0.9952703894942638
Ours,42,0.9952562988034404
Ours,43,0.9952421495436033
Ours,44,0.9952279410301423
Ours,45,0.9952136725907532
Ours,46,0.9951993435644694
Ours,47,0.9951849533007261
Ours,48,0.9951705011585416
Ours,49,0.9951559865057086
Ours,50,0.9951414087359995
Ours,51,0.9951267672325552
Ours,52,0.9951120613853123
Ours,53,0.9950972905904203
Ours,54,0.9950824542497039
Ours,55,0.9950675517701416
Ours,56,0.9950525825634163
Ours,57,0.995037546045454
Ours,58,0.9950224416360205
Ours,59,0.9950072687583323
Ours,60,0.9949920268386941
Ours,61,0.9949767153061541
Ours,62,0.9949613335921813
Ours,63,0.9949458811303682
Ours,64,0.9949303573561377
Ours,65,0.9949147617064745
Ours,66,0.9948990936196683
Ours,67,0.9948833525350776
Ours,68,0.9948675378928881
Ours,69,0.9948516491339019
Ours,70,0.9948356856993246
Ours,71,0.9948196470305727
Ours,72,0.9948035325690742
Ours,73,0.9947873417561044
Ours,74,0.9947710740325909
Ours,75,0.9947547288389702
Ours,76,0.9947383056150138
Ours,77,0.994721803799684
Ours,78,0.9947052228309788
Ours,79,0.9946885621458038
Ours,80,0.9946718211798229
Ours,81,0.9946549993673403
Ours,82,0.9946380961411576
Ours,83,0.9946211109324715
Ours,84,0.9946040431707358
Ours,85,0.9945868922835643
Ours,86,0.9945696576966043
Ours,87,0.9945523388334395
Ours,88,0.9945349351154704
Ours,89,0.994517445961835
Ours,90,0.9944998707892854
Ours,91,0.994482209012106
Ours,92,0.9944644600420065
Ours,93,0.9944466232880441
Ours,94,0.9944286981565116
Ours,95,0.994410684050867
Ours,96,0.9943925803716402
Ours,97,0.9943743865163392
Ours,98,0.9943561018793757
Ours,99,0.9943377258519842
Ours,100,0.9943192578237522
Ours,101,0.9943006971793388
Ours,102,0.9942820432999747
Ours,103,0.9942632955633898
Ours,104,0.994244453343739
Ours,105,0.9942255160115113
Ours,106,0.9942064829334818
Ours,107,0.9941873534726031
Ours,108,0.9941681269879649
