Variant,HND_mean,HND_std,DR_mean,DR_std,Conv_mean,Conv_std
Full framework,763.8374129799724,5.521877019434596,0.7391266267378579,0.012182354214638973,2997.0,16.15549442140351
w/o Layer 2,719.5466507362936,4.230934922333352,0.41435461470313023,0.003819272256982402,2307.0,122.9945798263768
Fixed weights,763.6932888061341,5.028389889658392,0.7393923030011379,0.01359455625750388,2947.0,179.68769202888117
w/o penalty,763.7895502607934,5.013970708852903,0.7388932112321318,0.013546265362191192,2948.0,178.57584756437237
Constant step,763.8743285422729,5.001080179602928,0.7383052271714924,0.013494819942449651,2948.3333333333335,175.67172668233812
w/o both,688.4667217452151,5.499366235303214,0.4620381565419457,0.00469668174645268,1256.3333333333333,48.199815582867956
