Protocol,Round,NodeID,Energy_mW,Normalized_Energy
LEACH,0,0,19.953376852461954,0.9976688426230977
LEACH,6,0,19.673637967233745,0.9836818983616873
LEACH,12,0,19.393899082005543,0.9696949541002772
LEACH,18,0,19.114160196777327,0.9557080098388664
LEACH,24,0,18.834182531470262,0.9417091265735131
LEACH,30,0,18.554157110147425,0.9277078555073712
LEACH,36,0,18.27413168882458,0.9137065844412289
LEACH,42,0,17.994929295506576,0.8997464647753288
LEACH,48,0,17.71654993019339,0.8858274965096695
LEACH,54,0,17.438170564880192,0.8719085282440096
LEACH,60,0,17.159618088489623,0.8579809044244812
LEACH,66,0,16.88020005671213,0.8440100028356066
LEACH,72,0,16.600782024934645,0.8300391012467323
LEACH,78,0,16.321363993157153,0.8160681996578576
LEACH,84,0,16.040202770555673,0.8020101385277837
LEACH,90,0,15.758692909789389,0.7879346454894695
LEACH,96,0,15.477183049023111,0.7738591524511556
LEACH,102,0,15.195818132178175,0.7597909066089088
LEACH,108,0,14.914598159254567,0.7457299079627283
LEACH,114,0,14.633378186330964,0.7316689093165482
LEACH,120,0,14.352125972097829,0.7176062986048914
LEACH,126,0,14.070712551317046,0.7035356275658523
LEACH,132,0,13.789299130536264,0.6894649565268132
LEACH,138,0,13.507885709755485,0.6753942854877742
LEACH,144,0,13.228996090892258,0.6614498045446129
LEACH,150,0,12.950611232412534,0.6475305616206267
LEACH,156,0,12.67222637393283,0.6336113186966414
LEACH,162,0,12.392566625140022,0.6196283312570011
LEACH,168,0,12.111631986034157,0.6055815993017079
LEACH,174,0,11.830697346928273,0.5915348673464137
LEACH,180,0,11.55018252038091,0.5775091260190455
LEACH,186,0,11.271766756626107,0.5635883378313054
LEACH,192,0,10.99335099287131,0.5496675496435655
LEACH,198,0,10.714935229116506,0.5357467614558253
LEACH,204,0,10.435633693196674,0.5217816846598338
LEACH,210,0,10.156155002843834,0.5078077501421917
LEACH,216,0,9.87667631249099,0.4938338156245495
LEACH,222,0,9.596760361974976,0.4798380180987488
LEACH,228,0,9.3164071512958,0.46582035756479
LEACH,234,0,9.036053940616629,0.4518026970308314
LEACH,240,0,8.756185618987342,0.4378092809493671
LEACH,246,0,8.478741742607463,0.42393708713037315
LEACH,252,0,8.201297866227582,0.41006489331137913
LEACH,258,0,7.923853989847705,0.3961926994923853
LEACH,264,0,7.6451195738430755,0.3822559786921538
LEACH,270,0,7.366127049913497,0.36830635249567484
LEACH,276,0,7.087134525983913,0.3543567262991957
LEACH,282,0,6.806988815203777,0.34034944076018886
LEACH,288,0,6.525689917573082,0.3262844958786541
LEACH,294,0,6.255550509082094,0.3127775254541047
HEED,0,0,19.96326106526281,0.9981630532631405
HEED,6,0,19.742827456839713,0.9871413728419857
HEED,12,0,19.522393848416616,0.9761196924208309
HEED,18,0,19.301960239993498,0.9650980119996749
HEED,24,0,19.092142259206234,0.9546071129603118
HEED,30,0,18.884447403946133,0.9442223701973067
HEED,36,0,18.67675254868604,0.933837627434302
HEED,42,0,18.466275682832766,0.9233137841416383
HEED,48,0,18.25301680638637,0.9126508403193185
HEED,54,0,18.039757929939952,0.9019878964969976
HEED,60,0,17.827024217036108,0.8913512108518054
HEED,66,0,17.616916321845054,0.8808458160922527
HEED,72,0,17.40680842665401,0.8703404213327005
HEED,78,0,17.196700531462962,0.8598350265731481
HEED,84,0,16.98665982386401,0.8493329911932005
HEED,90,0,16.776632553783486,0.8388316276891743
HEED,96,0,16.56660528370296,0.828330264185148
HEED,102,0,16.355239684593,0.81776198422965
HEED,108,0,16.142535756453597,0.8071267878226799
HEED,114,0,15.929831828314198,0.7964915914157099
HEED,120,0,15.71706510010669,0.7858532550053345
HEED,126,0,15.503984371558651,0.7751992185779326
HEED,132,0,15.290903643010616,0.7645451821505308
HEED,138,0,15.077822914462578,0.7538911457231289
HEED,144,0,14.856792813508989,0.7428396406754494
HEED,150,0,14.634172838074297,0.7317086419037149
HEED,156,0,14.411552862639605,0.7205776431319802
HEED,162,0,14.193893404737212,0.7096946702368606
HEED,168,0,13.981194464367125,0.6990597232183562
HEED,174,0,13.768495523997032,0.6884247761998517
HEED,180,0,13.554860337281331,0.6777430168640666
HEED,186,0,13.336543918837613,0.6668271959418807
HEED,192,0,13.118227500393889,0.6559113750196944
HEED,198,0,12.899911081950162,0.6449955540975081
HEED,204,0,12.682470054191928,0.6341235027095964
HEED,210,0,12.465204104570795,0.6232602052285398
HEED,216,0,12.247938154949672,0.6123969077474836
HEED,222,0,12.034514044770606,0.6017257022385303
HEED,228,0,11.824931774033615,0.5912465887016808
HEED,234,0,11.615349503296626,0.5807674751648313
HEED,240,0,11.404850854402538,0.5702425427201269
HEED,246,0,11.189770314722953,0.5594885157361477
HEED,252,0,10.974689775043363,0.5487344887521681
HEED,258,0,10.759609235363785,0.5379804617681893
HEED,264,0,10.537681522634205,0.5268840761317103
HEED,270,0,10.31438437529462,0.515719218764731
HEED,276,0,10.09108722795505,0.5045543613977526
HEED,282,0,9.867682288884668,0.49338411444423336
HEED,288,0,9.644169558083483,0.48220847790417415
HEED,294,0,9.420656827282302,0.4710328413641151
PEGASIS,0,0,19.96084148477964,0.998042074238982
PEGASIS,6,0,19.725890393457508,0.9862945196728754
PEGASIS,12,0,19.490939302135374,0.9745469651067686
PEGASIS,18,0,19.255988210813236,0.9627994105406618
PEGASIS,24,0,19.021037119491094,0.9510518559745547
PEGASIS,30,0,18.786086028168953,0.9393043014084477
PEGASIS,36,0,18.551134936846818,0.9275567468423409
PEGASIS,42,0,18.316183845524684,0.9158091922762341
PEGASIS,48,0,18.081232754202546,0.9040616377101273
PEGASIS,54,0,17.846281662880404,0.8923140831440202
PEGASIS,60,0,17.611330571558263,0.8805665285779132
PEGASIS,66,0,17.37637948023613,0.8688189740118066
PEGASIS,72,0,17.14142838891399,0.8570714194456995
PEGASIS,78,0,16.90647729759186,0.845323864879593
PEGASIS,84,0,16.671526206269725,0.8335763103134862
PEGASIS,90,0,16.43657511494758,0.821828755747379
PEGASIS,96,0,16.201624023625435,0.8100812011812717
PEGASIS,102,0,15.966672932303306,0.7983336466151653
PEGASIS,108,0,15.731721840981173,0.7865860920490586
PEGASIS,114,0,15.496770749659026,0.7748385374829513
PEGASIS,120,0,15.261819658336888,0.7630909829168444
PEGASIS,126,0,15.026868567014752,0.7513434283507376
PEGASIS,132,0,14.791917475692614,0.7395958737846307
PEGASIS,138,0,14.55696638437048,0.727848319218524
PEGASIS,144,0,14.322015293048345,0.7161007646524172
PEGASIS,150,0,14.087064201726196,0.7043532100863098
PEGASIS,156,0,13.852113110404066,0.6926056555202033
PEGASIS,162,0,13.617162019081928,0.6808581009540964
PEGASIS,168,0,13.382210927759795,0.6691105463879897
